IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2205,"{1, 35, 8, 21, 29}","{35, 37, 6, 5, 41, 10, 43, 16, 17, 18, 21, 22, 25, 26, 31}",2,"[35, 21]",6,False
2206,"{39, 43, 16, 23, 31}","{37, 6, 41, 10, 43, 16, 17, 18, 25, 26, 28, 31}",3,"[16, 43, 31]",9,False
2207,"{34, 7, 9, 11, 28}","{6, 7, 9, 10, 14, 17, 18, 26, 28, 30}",3,"[9, 28, 7]",5,False
2208,"{3, 39, 40, 11, 29}","{32, 6, 38, 10, 14, 17, 18, 24, 26, 30}",0,[],13,False
2209,"{2, 8, 11, 19, 26}","{32, 38, 6, 10, 42, 12, 14, 17, 19, 24, 26, 30}",2,"[26, 19]",6,False
2210,"{2, 43, 20, 26, 30}","{32, 1, 38, 6, 42, 10, 12, 14, 17, 24, 30}",2,[30],11,True
2211,"{4, 14, 19, 25, 31}","{32, 1, 38, 42, 10, 12, 14, 16, 17, 21, 24}",1,[14],15,False
2212,"{32, 6, 8, 43, 13}","{32, 1, 34, 35, 38, 7, 9, 42, 10, 13, 16, 17, 21, 24}",2,"[32, 13]",15,False
2213,"{33, 35, 6, 41, 13}","{1, 34, 35, 2, 3, 38, 7, 9, 12, 16, 21, 24, 28, 29}",1,[35],11,False
2214,"{1, 36, 14, 15, 22}","{34, 2, 3, 7, 40, 9, 11, 12, 16, 21, 28, 29}",0,[],11,False
2215,"{5, 6, 18, 19, 24}","{34, 2, 3, 7, 40, 9, 11, 12, 16, 20, 21, 28, 29, 30}",0,[],9,False
2216,"{33, 3, 8, 15, 22}","{34, 2, 3, 7, 40, 11, 12, 16, 20, 21, 26, 28, 29, 30}",2,[3],13,True
2217,"{43, 12, 14, 15, 20}","{7, 40, 39, 11, 12, 16, 20, 21, 23, 26, 28, 29, 30}",3,"[12, 20]",10,True
2218,"{36, 14, 18, 21, 26}","{32, 4, 39, 40, 11, 16, 21, 23, 26, 28, 29, 30, 31}",2,"[26, 21]",7,False
