IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2196,"{42, 43, 12, 22, 28}","{32, 2, 34, 4, 37, 5, 36, 38, 41, 11, 12, 15, 19, 24, 27, 30}",1,[12],9,False
2197,"{1, 37, 6, 16, 31}","{32, 2, 34, 4, 37, 5, 38, 40, 41, 36, 11, 8, 14, 21, 23, 24, 27, 30}",2,[37],13,True
2198,"{34, 41, 14, 16, 27}","{32, 33, 2, 34, 4, 36, 5, 38, 8, 40, 41, 11, 14, 21, 23, 27, 30}",4,"[41, 34, 27, 14]",14,False
2199,"{3, 7, 43, 15, 19}","{32, 33, 2, 4, 5, 38, 36, 40, 8, 11, 21, 23, 25, 26, 28}",0,[],1,False
2200,"{5, 14, 20, 30, 31}","{32, 33, 2, 4, 36, 38, 40, 8, 10, 11, 12, 21, 23, 25, 26, 28, 29}",0,[],8,False
2201,"{2, 10, 15, 22, 25}","{33, 4, 36, 38, 8, 40, 10, 11, 12, 17, 18, 21, 23, 25, 26, 29}",3,"[25, 10]",3,True
2202,"{8, 41, 11, 12, 29}","{33, 4, 36, 6, 8, 11, 12, 16, 17, 18, 21, 23, 26, 28, 29}",4,"[8, 11, 12, 29]",14,False
2203,"{2, 34, 9, 16, 31}","{36, 4, 6, 43, 16, 17, 18, 21, 23, 26, 27, 28}",2,[16],5,True
2204,"{35, 40, 42, 22, 31}","{3, 36, 6, 7, 43, 17, 18, 21, 26, 27, 28}",0,[],2,False
2205,"{35, 4, 15, 27, 30}","{1, 3, 36, 6, 7, 43, 17, 18, 19, 21, 26, 27, 28}",1,[27],7,False
2206,"{38, 6, 12, 13, 15}","{1, 3, 5, 6, 7, 43, 17, 18, 19}",2,[6],16,True
2207,"{3, 4, 36, 6, 18}","{1, 3, 5, 7, 8, 41, 10, 43, 16, 18, 19, 25}",3,"[18, 3]",15,True
2208,"{37, 7, 8, 13, 18}","{1, 5, 7, 8, 9, 10, 40, 41, 14, 16, 19, 20, 25}",3,"[8, 7]",12,True
2209,"{33, 39, 20, 30, 31}","{1, 5, 40, 9, 41, 10, 14, 16, 20, 25, 29, 31}",3,"[20, 31]",10,True
2210,"{7, 9, 10, 11, 29}","{2, 5, 40, 9, 41, 11, 14, 16, 25, 29}",4,"[9, 11, 29]",13,True
2211,"{36, 16, 17, 22, 26}","{2, 35, 34, 5, 38, 40, 41, 12, 14, 16, 22, 25, 27}",2,"[16, 22]",15,False
2212,"{33, 34, 38, 6, 28}","{2, 35, 34, 3, 38, 6, 40, 41, 42, 12, 14, 25, 27}",3,"[34, 38, 6]",12,False
2213,"{4, 39, 8, 40, 17}","{2, 35, 3, 4, 40, 41, 42, 8, 12, 14, 15, 25, 27}",4,"[8, 40, 4]",14,True
2214,"{33, 40, 13, 14, 15}","{2, 35, 3, 41, 42, 12, 13, 14, 15, 25, 27, 30, 31}",3,"[13, 14, 15]",16,False
2215,"{1, 8, 10, 22, 25}","{2, 35, 3, 7, 41, 42, 9, 12, 16, 18, 25, 26, 27, 28, 30, 31}",2,[25],4,True
2216,"{35, 3, 7, 20, 31}","{3, 36, 7, 9, 42, 16, 18, 26, 28, 30, 31}",4,"[3, 31, 7]",7,True
2217,"{1, 34, 37, 6, 39}","{36, 38, 6, 9, 42, 16, 18, 26, 29, 30}",1,[6],4,False
2218,"{32, 2, 6, 40, 24}","{36, 38, 40, 9, 42, 11, 16, 18, 26, 28, 29, 30}",2,[40],5,True
